,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
,21501028,2016-03-19,DEN @ CHA,1610612766,t,L,39,30,0.565,240,35,83,0.422,9,32,0.281,14,20,1,8,30,38,22,6,13,11,18,93,1610612743,2015,Regular Season,2015-16
,21501028,2016-03-19,CHA vs. DEN,1610612743,f,W,29,41,0.414,240,38,87,0.437,9,18,0.5,16,23,1,14,37,51,19,6,4,13,21,101,1610612766,2015,Regular Season,2015-16
,21501035,2016-03-19,MEM vs. LAC,1610612746,f,L,43,25,0.632,240,31,66,0.47,12,30,0.4,28,39,1,4,26,30,18,8,8,14,27,102,1610612763,2015,Regular Season,2015-16
,21501036,2016-03-19,SAS vs. GSW,1610612744,f,L,62,7,0.899,240,31,82,0.378,9,36,0.25,8,10,1,7,30,37,24,12,3,10,21,79,1610612759,2015,Regular Season,2015-16
,21501034,2016-03-19,CHI vs. UTA,1610612762,f,L,33,36,0.478,240,35,86,0.407,8,27,0.296,7,12,1,15,25,40,22,5,4,10,14,85,1610612741,2015,Regular Season,2015-16
,21501027,2016-03-18,LAL vs. PHX,1610612756,f,W,19,50,0.275,240,32,89,0.36,8,30,0.267,23,26,1,17,40,57,19,5,6,11,21,95,1610612747,2015,Regular Season,2015-16
,21501026,2016-03-18,GSW @ DAL,1610612742,t,L,34,35,0.493,240,41,93,0.441,9,29,0.31,21,22,1,11,35,46,25,4,8,12,15,112,1610612744,2015,Regular Season,2015-16
,21501027,2016-03-18,PHX @ LAL,1610612747,t,L,14,55,0.203,240,31,86,0.36,6,23,0.261,22,26,1,12,38,50,21,4,6,12,21,90,1610612756,2015,Regular Season,2015-16
,21501026,2016-03-18,DAL vs. GSW,1610612744,f,W,62,6,0.912,240,48,95,0.505,22,38,0.579,12,14,1,5,37,42,35,8,7,12,21,130,1610612742,2015,Regular Season,2015-16
,21501023,2016-03-18,TOR vs. BOS,1610612738,f,L,39,30,0.565,240,36,82,0.439,9,21,0.429,10,12,1,7,30,37,18,8,3,15,18,91,1610612761,2015,Regular Season,2015-16
,21501013,2016-03-17,PHI vs. WAS,1610612764,f,W,33,35,0.485,240,40,90,0.444,6,27,0.222,13,19,1,12,48,60,25,8,1,22,17,99,1610612755,2015,Regular Season,2015-16
,21501017,2016-03-17,MIL vs. MEM,1610612763,f,L,39,30,0.565,240,34,92,0.37,3,13,0.231,15,17,1,18,29,47,16,8,3,15,19,86,1610612749,2015,Regular Season,2015-16
,21501014,2016-03-17,MIA vs. CHA,1610612766,f,W,39,29,0.574,240,40,86,0.465,13,26,0.5,16,21,1,9,30,39,19,3,0,8,19,109,1610612748,2015,Regular Season,2015-16
,21501013,2016-03-17,WAS @ PHI,1610612755,t,L,9,59,0.132,240,35,91,0.385,6,33,0.182,18,26,1,8,32,40,17,16,3,11,20,94,1610612764,2015,Regular Season,2015-16
,21501014,2016-03-17,CHA @ MIA,1610612748,t,L,39,29,0.574,240,40,75,0.533,7,17,0.412,19,24,1,6,33,39,22,5,8,15,17,106,1610612766,2015,Regular Season,2015-16
,21501017,2016-03-17,MEM @ MIL,1610612749,t,W,30,39,0.435,240,37,75,0.493,5,19,0.263,17,25,1,9,35,44,21,7,17,12,15,96,1610612763,2015,Regular Season,2015-16
,21501019,2016-03-17,PHX @ UTA,1610612762,t,W,33,35,0.485,240,43,88,0.489,11,25,0.44,6,9,1,9,42,51,20,14,5,16,18,103,1610612756,2015,Regular Season,2015-16
,21501015,2016-03-17,DEN @ ATL,1610612737,t,W,40,29,0.58,240,40,80,0.5,12,26,0.462,24,28,1,7,33,40,32,5,8,12,16,116,1610612743,2015,Regular Season,2015-16
,21501019,2016-03-17,UTA vs. PHX,1610612756,f,L,18,50,0.265,240,28,82,0.341,6,26,0.231,7,14,0,10,33,43,14,9,1,21,16,69,1610612762,2015,Regular Season,2015-16
,21501015,2016-03-17,ATL vs. DEN,1610612743,f,L,28,41,0.406,240,39,87,0.448,6,22,0.273,14,17,1,9,30,39,22,6,4,14,22,98,1610612737,2015,Regular Season,2015-16
,21501003,2016-03-16,OKC @ BOS,1610612738,t,L,39,29,0.574,240,40,93,0.43,5,19,0.263,24,27,1,16,26,42,17,4,4,11,22,109,1610612760,2015,Regular Season,2015-16
,21501007,2016-03-16,ATL @ DET,1610612765,t,L,34,34,0.5,240,39,84,0.464,8,25,0.32,28,39,1,9,39,48,23,3,4,13,25,114,1610612737,2015,Regular Season,2015-16
,21501007,2016-03-16,DET vs. ATL,1610612737,f,W,39,29,0.574,240,39,89,0.438,12,34,0.353,28,34,1,8,38,46,25,10,3,12,26,118,1610612765,2015,Regular Season,2015-16
,21501006,2016-03-16,CHI @ WAS,1610612764,t,W,32,35,0.478,240,43,88,0.489,13,21,0.619,18,24,1,9,38,47,25,12,6,15,19,117,1610612741,2015,Regular Season,2015-16
,21501003,2016-03-16,BOS vs. OKC,1610612760,f,W,46,22,0.676,240,47,96,0.49,12,29,0.414,24,30,1,16,37,53,23,7,5,10,24,130,1610612738,2015,Regular Season,2015-16
,21501011,2016-03-16,GSW vs. NYK,1610612752,f,L,28,41,0.406,240,36,91,0.396,7,19,0.368,6,10,1,11,27,38,29,7,3,9,11,85,1610612744,2015,Regular Season,2015-16
,21501006,2016-03-16,WAS vs. CHI,1610612741,f,L,33,33,0.5,240,35,87,0.402,6,20,0.3,20,23,1,9,31,40,20,10,3,18,20,96,1610612764,2015,Regular Season,2015-16
,21501011,2016-03-16,NYK @ GSW,1610612744,t,W,61,6,0.91,240,46,91,0.505,18,37,0.486,11,12,1,12,42,54,32,4,8,12,13,121,1610612752,2015,Regular Season,2015-16
,21501004,2016-03-16,CHA vs. ORL,1610612753,f,L,29,38,0.433,240,35,83,0.422,11,25,0.44,18,21,1,2,38,40,23,4,9,8,20,99,1610612766,2015,Regular Season,2015-16
,21501005,2016-03-16,DAL @ CLE,1610612739,t,W,48,19,0.716,240,39,88,0.443,10,37,0.27,11,13,1,13,35,48,21,9,4,16,19,99,1610612742,2015,Regular Season,2015-16
,21501004,2016-03-16,ORL @ CHA,1610612766,t,W,38,29,0.567,240,40,100,0.4,11,37,0.297,16,21,1,15,44,59,23,3,4,8,12,107,1610612753,2015,Regular Season,2015-16
,21501005,2016-03-16,CLE vs. DAL,1610612742,f,L,34,34,0.5,240,37,79,0.468,7,22,0.318,17,19,1,4,28,32,24,6,7,10,18,98,1610612739,2015,Regular Season,2015-16
,21501009,2016-03-16,HOU vs. LAC,1610612746,f,W,43,24,0.642,240,43,76,0.566,12,30,0.4,24,32,1,7,26,33,31,9,7,10,20,122,1610612745,2015,Regular Season,2015-16
,21501009,2016-03-16,LAC @ HOU,1610612745,t,L,34,34,0.5,240,40,82,0.488,9,25,0.36,17,24,1,13,26,39,23,5,3,15,25,106,1610612746,2015,Regular Season,2015-16
,21501010,2016-03-16,NOP @ SAC,1610612758,t,L,26,41,0.388,240,42,90,0.467,9,18,0.5,15,17,1,8,31,39,23,7,2,11,18,108,1610612740,2015,Regular Season,2015-16
,21500997,2016-03-15,IND vs. BOS,1610612738,f,L,39,28,0.582,240,36,94,0.383,8,31,0.258,18,22,1,17,33,50,23,6,3,13,21,98,1610612754,2015,Regular Season,2015-16
,21500997,2016-03-15,BOS @ IND,1610612754,t,W,36,31,0.537,240,39,84,0.464,5,12,0.417,20,28,1,11,34,45,18,9,7,13,18,103,1610612738,2015,Regular Season,2015-16
,21501002,2016-03-15,LAL vs. SAC,1610612758,f,W,26,40,0.394,240,38,79,0.481,4,18,0.222,26,33,1,5,36,41,26,17,8,16,17,106,1610612747,2015,Regular Season,2015-16
,21501002,2016-03-15,SAC @ LAL,1610612747,t,L,14,54,0.206,240,37,84,0.44,5,26,0.192,19,26,1,10,39,49,20,10,5,22,23,98,1610612758,2015,Regular Season,2015-16
,21501001,2016-03-15,LAC @ SAS,1610612759,t,W,57,10,0.851,240,44,82,0.537,8,20,0.4,12,16,1,12,30,42,25,6,4,10,21,108,1610612746,2015,Regular Season,2015-16
,21500991,2016-03-14,CHI @ TOR,1610612761,t,L,44,21,0.677,240,37,83,0.446,6,20,0.3,27,31,1,10,32,42,12,5,9,5,18,107,1610612741,2015,Regular Season,2015-16
,21500991,2016-03-14,TOR vs. CHI,1610612741,f,W,33,32,0.508,240,41,83,0.494,9,25,0.36,18,20,1,8,30,38,23,2,7,8,22,109,1610612761,2015,Regular Season,2015-16
,21500996,2016-03-14,NOP @ GSW,1610612744,t,W,60,6,0.909,240,47,81,0.58,12,25,0.48,19,23,1,8,38,46,30,6,6,18,22,125,1610612740,2015,Regular Season,2015-16
,21500996,2016-03-14,GSW vs. NOP,1610612740,f,L,24,42,0.364,240,35,93,0.376,7,25,0.28,30,34,1,17,23,40,18,14,3,8,19,107,1610612744,2015,Regular Season,2015-16
